Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1921,0.116181,50.6402809,4.6667145
Switzerland,1921,0.067109,46.7985624,8.2319736
Norway,1921,0.043094,61.1529386,8.7876653
Australia,1921,0.059987,-24.7761086,134.755
Scotland,1921,0.082175,56.7861112,-4.1140518
Spain,1921,0.17403,39.3260685,-4.8379791
Iceland,1921,0.048618,64.9841821,-18.1059013
England and Wales,1921,0.073847,51.5742454,-2.6999204
France,1921,0.115124,46.603354,1.8883335
Netherlands,1921,0.081502,52.2434979,5.6343227
New Zealand -- Non-Maori,1921,0.043995,,
Denmark,1921,0.069864,55.670249,10.3333283
Sweden,1921,0.056429,59.6749712,14.5208584
England and Wales,1921,0.073383,51.5742454,-2.6999204
Finland,1921,0.090557,63.2467777,25.9209164
Italy,1921,0.142976,42.6384261,12.674297
France,1921,0.115124,46.603354,1.8883335
Canada,1921,0.105821,61.0666922,-107.991707
