Country,Year,Female Baby Death Rate,Latitude,Longitude
Belgium,1874,0.135922,50.6402809,4.6667145
Norway,1874,0.104804,61.1529386,8.7876653
Scotland,1874,0.123009,56.7861112,-4.1140518
Iceland,1874,0.18055,64.9841821,-18.1059013
England and Wales,1874,0.150392,51.5742454,-2.6999204
France,1874,0.162628,46.603354,1.8883335
Netherlands,1874,0.215731,52.2434979,5.6343227
Denmark,1874,0.14151,55.670249,10.3333283
Sweden,1874,0.150103,59.6749712,14.5208584
England and Wales,1874,0.150392,51.5742454,-2.6999204
Italy,1874,0.239411,42.6384261,12.674297
France,1874,0.162628,46.603354,1.8883335
Belgium,1860,0.132705,50.6402809,4.6667145
Norway,1860,0.087384,61.1529386,8.7876653
Scotland,1860,0.133675,56.7861112,-4.1140518
Iceland,1860,0.36252,64.9841821,-18.1059013
England and Wales,1860,0.141494,51.5742454,-2.6999204
France,1860,0.145987,46.603354,1.8883335
Netherlands,1860,0.209166,52.2434979,5.6343227
Denmark,1860,0.134334,55.670249,10.3333283
Sweden,1860,0.128111,59.6749712,14.5208584
England and Wales,1860,0.141494,51.5742454,-2.6999204
France,1860,0.146002,46.603354,1.8883335
Belgium,1848,0.141403,50.6402809,4.6667145
Norway,1848,0.111349,61.1529386,8.7876653
Iceland,1848,0.258661,64.9841821,-18.1059013
England and Wales,1848,0.154469,51.5742454,-2.6999204
France,1848,0.1619,46.603354,1.8883335
Denmark,1848,0.189024,55.670249,10.3333283
Sweden,1848,0.143944,59.6749712,14.5208584
England and Wales,1848,0.154469,51.5742454,-2.6999204
France,1848,0.1619,46.603354,1.8883335
Belgium,1900,0.177665,50.6402809,4.6667145
Switzerland,1900,0.146931,46.7985624,8.2319736
Norway,1900,0.077791,61.1529386,8.7876653
Scotland,1900,0.126692,56.7861112,-4.1140518
Iceland,1900,0.127141,64.9841821,-18.1059013
England and Wales,1900,0.151306,51.5742454,-2.6999204
France,1900,0.166386,46.603354,1.8883335
Netherlands,1900,0.16556,52.2434979,5.6343227
Denmark,1900,0.125095,55.670249,10.3333283
Sweden,1900,0.095239,59.6749712,14.5208584
England and Wales,1900,0.151306,51.5742454,-2.6999204
Finland,1900,0.15129,63.2467777,25.9209164
Italy,1900,0.178756,42.6384261,12.674297
France,1900,0.166386,46.603354,1.8883335
Switzerland,1914,0.08494,46.7985624,8.2319736
Norway,1914,0.057883,61.1529386,8.7876653
Scotland,1914,0.109519,56.7861112,-4.1140518
Spain,1914,0.15559,39.3260685,-4.8379791
Iceland,1914,0.076681,64.9841821,-18.1059013
England and Wales,1914,0.098204,51.5742454,-2.6999204
France,1914,0.111575,46.603354,1.8883335
Netherlands,1914,0.101732,52.2434979,5.6343227
New Zealand -- Non-Maori,1914,0.047587,,
Denmark,1914,0.091139,55.670249,10.3333283
Sweden,1914,0.067209,59.6749712,14.5208584
England and Wales,1914,0.098204,51.5742454,-2.6999204
Finland,1914,0.101168,63.2467777,25.9209164
Italy,1914,0.133485,42.6384261,12.674297
France,1914,0.111575,46.603354,1.8883335
United Kingdom,1928,0.061387,54.7023545,-3.2765753
Belgium,1928,0.086952,50.6402809,4.6667145
Switzerland,1928,0.047659,46.7985624,8.2319736
Norway,1928,0.041114,61.1529386,8.7876653
Australia,1928,0.049591,-24.7761086,134.755
Scotland,1928,0.078608,56.7861112,-4.1140518
Spain,1928,0.131925,39.3260685,-4.8379791
Northern Ireland,1928,0.070463,54.5859836,-6.9591554
Iceland,1928,0.040671,64.9841821,-18.1059013
